,iso_code,country,year,GDLcode,continent2,level,region,continent,CountryName_std,shdi,healthindex,incindex,edindex,esch,msch,lifexp,gnic,lgnic,pop,POLY_IDcountry,iso3,status,CountryName,SubContinent,Continent,Continent_std,surfaceTemperature,soilMoisture10cm,soilMoisture40cm
44,KHM,Cambodia,1992,KHMr107,Asia,Subnat,Kaoh Kong,Asia/Pacific,Cambodia,0.36700001,0.57599998,0.366,0.234,5.4390001,2.497,57.451,1125.868,7.026,97.682,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.34360062210982284,0.3430391816231757
45,KHM,Cambodia,1992,KHMr116,Asia,Subnat,Mondol Kiri-Rotanak Kiri,Asia/Pacific,Cambodia,0.27000001,0.421,0.33399999,0.14,3.598,1.212,47.389,913.89502,6.8179998,108.269,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.3439048625719498,0.3625972496504746
46,KHM,Cambodia,1992,KHMr103,Asia,Subnat,Kampong Chhnang,Asia/Pacific,Cambodia,0.34200001,0.47600001,0.34400001,0.244,6.0840001,2.26,50.959999,972.27399,6.8800001,371.386,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.306024971990312,0.30286347576852884
47,KHM,Cambodia,1992,KHMr104,Asia,Subnat,Kampong Spueu,Asia/Pacific,Cambodia,0.35600001,0.579,0.31900001,0.245,6.2969999,2.096,57.604,825.315,6.7160001,516.033,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.3170062072045098,0.31468790344927033
48,KHM,Cambodia,1992,KHMr106,Asia,Subnat,Kandal,Asia/Pacific,Cambodia,0.38100001,0.54699999,0.35100001,0.289,7.0710001,2.7750001,55.549999,1018.97,6.927,938.907,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.2936905991565696,0.29583797807538603
49,KHM,Cambodia,1992,KHMr109,Asia,Subnat,Prey Veaeng,Asia/Pacific,Cambodia,0.35699999,0.486,0.345,0.271,6.8839998,2.3989999,51.612999,982.66699,6.8899999,796.088,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.30379712809571374,0.31027039719311983
50,KHM,Cambodia,1992,KHMr113,Asia,Subnat,Bat Dambang-Krong Pailin,Asia/Pacific,Cambodia,0.38600001,0.51899999,0.36700001,0.30199999,7.046,3.1849999,53.73,1135.771,7.0349998,673.384,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.30387337401976117,0.3060835151975792
51,KHM,Cambodia,1992,KHMr115,Asia,Subnat,Preah Vihear-Stueng Traeng-Kracheh,Asia/Pacific,Cambodia,0.35499999,0.52899998,0.33700001,0.25099999,5.9660001,2.563,54.41,928.008,6.8330002,382.261,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.3368350293374302,0.35239988220860785
52,KHM,Cambodia,1992,KHMr117,Asia,Subnat,Siem Reab-Otdar Mean Chey,Asia/Pacific,Cambodia,0.336,0.52200001,0.33500001,0.21600001,5.4239998,1.957,53.917999,921.64502,6.8260002,655.387,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.309986489369496,0.32492594797444296
53,KHM,Cambodia,1992,KHMr111,Asia,Subnat,Svay Rieng,Asia/Pacific,Cambodia,0.37,0.51499999,0.345,0.28600001,7.0029998,2.743,53.451,978.67999,6.8860002,423.355,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.31538714486973857,0.32602040669906285
